0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850
10,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
30,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
50,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
70,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
90,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
110,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
130,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
150,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,112
170,111,111,111,111,111,111,111,111,111,111,111,111,111,112,112,112,112
190,111,111,111,111,111,111,111,111,111,111,111,112,112,112,112,112,112
210,111,111,111,111,111,111,111,111,111,111,112,112,112,112,112,112,112
230,111,111,111,111,111,111,111,111,111,112,112,112,112,112,112,112,122
250,111,111,111,111,111,111,111,111,112,112,112,112,112,112,112,122,122
270,111,111,111,111,111,111,111,112,112,112,112,112,112,112,122,122,122
290,111,111,111,111,111,111,112,112,112,112,112,112,122,122,122,223,223
310,111,111,111,111,112,112,112,112,112,112,112,122,122,122,222,223,223
330,111,111,111,111,112,112,112,112,112,112,122,122,222,223,223,223,223
350,111,111,111,111,112,112,112,112,122,122,122,122,222,223,223,223,223
370,111,111,111,111,112,112,112,112,122,122,122,223,223,223,223,223,223
390,111,111,111,111,112,112,112,122,122,122,222,223,223,223,223,223,233
